emp_no,first_name,last_name,title,to_date,from_date,salary
213275,Chenxi,Sankaranarayanan,Staff,2000-11-25,1995-11-26,49580
473577,Bodo,Vesna,Senior Engineer,9999-01-01,1995-11-26,56777
404046,Tayeb,Lorch,Staff,9999-01-01,1995-11-26,55568
235482,Babette,Poulakidas,Senior Staff,9999-01-01,1995-11-26,65625
107901,Munir,Honiden,Senior Staff,9999-01-01,1995-11-25,65097
424135,Masaki,Fairtlough,Staff,2000-11-24,1995-11-25,40000
77988,Tze,Gyimothy,Senior Engineer,9999-01-01,1995-11-25,40000
78755,Emran,Christianini,Staff,9999-01-01,1995-11-25,49686
60246,Honesty,Fraisse,Senior Staff,9999-01-01,1995-11-25,59604
53391,Fayez,Stroustrup,Senior Staff,9999-01-01,1995-11-25,71880
268698,Hercules,Streng,Senior Staff,9999-01-01,1995-11-25,40000
45092,Francesca,Chandrasekhar,Staff,9999-01-01,1995-11-25,63645
22136,Naftali,Thiran,Senior Staff,9999-01-01,1995-11-25,69488
220143,Fei,Mungall,Senior Engineer,9999-01-01,1995-11-25,48015
296167,Weijing,Denis,Senior Staff,9999-01-01,1995-11-25,58961
473921,Pragnesh,Kamber,Staff,2001-11-24,1995-11-25,43193
415539,Luerbio,Collette,Senior Staff,9999-01-01,1995-11-24,48216
417462,Yagil,Emmart,Senior Engineer,9999-01-01,1995-11-24,64352
435199,Pranay,Butterworth,Engineer,9999-01-01,1995-11-24,51720
96440,Guangming,Skogmar,Staff,2001-11-23,1995-11-24,65331
32919,Lenore,Schaad,Senior Staff,9999-01-01,1995-11-23,40000
33996,Subbu,Olivero,Senior Staff,9999-01-01,1995-11-23,40000
236168,Kyoichi,Hopewell,Senior Engineer,9999-01-01,1995-11-23,50730
22910,Shawna,Cummings,Staff,9999-01-01,1995-11-23,72381
47022,Mostafa,Terlouw,Staff,9999-01-01,1995-11-23,40000
297594,Atreye,Picht,Senior Staff,9999-01-01,1995-11-23,58729
457683,Janalee,Zultner,Senior Staff,9999-01-01,1995-11-23,40000
233520,Magdalena,Ghazalie,Senior Staff,9999-01-01,1995-11-23,82880
264247,Herbert,Rotem,Senior Engineer,9999-01-01,1995-11-23,45138
491807,Halsur,Tchuente,Engineer,9999-01-01,1995-11-23,60821
10564,Jianhao,Thisen,Engineer,2000-11-22,1995-11-23,46660
96276,Luisa,Wossner,Senior Staff,9999-01-01,1995-11-23,40000
403339,Yahiko,Reinhart,Senior Engineer,9999-01-01,1995-11-23,40000
222173,Feiyu,Esteva,Senior Engineer,9999-01-01,1995-11-23,40000
447765,Arie,Chachaty,Senior Staff,9999-01-01,1995-11-23,54472
476819,Jianhao,Pehl,Senior Engineer,9999-01-01,1995-11-22,49333
213508,Somnath,Binding,Senior Engineer,9999-01-01,1995-11-22,71099
243766,Xinyu,Oppitz,Engineer,9999-01-01,1995-11-22,50444
68679,Takahiro,Dredge,Staff,9999-01-01,1995-11-22,40000
265582,Vitaly,Isard,Engineer,9999-01-01,1995-11-22,70037
207580,Parto,Harbusch,Staff,9999-01-01,1995-11-21,56939
39854,Sanjay,McClurg,Engineer,2001-11-20,1995-11-21,40000
17704,Vatsa,Broomell,Staff,2001-11-20,1995-11-21,40000
487792,Nevio,Suessmith,Senior Engineer,9999-01-01,1995-11-21,52433
410262,Tristan,Nergos,Engineer,2001-11-20,1995-11-21,80849
210876,Wayne,Yamaashi,Senior Staff,9999-01-01,1995-11-21,40000
239653,Elrique,Emmart,Senior Staff,9999-01-01,1995-11-20,53138
417674,Felicidad,Felcyn,Senior Staff,9999-01-01,1995-11-20,62473
467771,Breannda,Schaad,Senior Staff,9999-01-01,1995-11-20,64014
44883,Kagan,Cichocki,Senior Engineer,9999-01-01,1995-11-20,55765
48127,Barna,Thisen,Senior Engineer,9999-01-01,1995-11-20,63208
286450,Basem,Fadgyas,Staff,9999-01-01,1995-11-20,40000
242414,Urs,Nicolson,Engineer,2000-11-19,1995-11-20,40000
470531,Willard,Makrucki,Senior Staff,9999-01-01,1995-11-20,40000
36870,Jianhao,Luff,Senior Engineer,9999-01-01,1995-11-20,40000
463556,Monique,Emmart,Senior Staff,9999-01-01,1995-11-20,40000
29495,Mizuhito,Morrey,Senior Staff,9999-01-01,1995-11-19,70970
213327,Shiv,Alpin,Senior Engineer,9999-01-01,1995-11-19,40000
59566,Vugranam,Krybus,Engineer,9999-01-01,1995-11-19,51673
470297,Jaewon,Peha,Engineer,9999-01-01,1995-11-19,40000
45327,Khedija,Karner,Staff,9999-01-01,1995-11-19,40000
22226,Bangqing,Vigier,Senior Staff,9999-01-01,1995-11-19,43408
72866,Sverrir,Zumaque,Senior Staff,9999-01-01,1995-11-19,79179
246435,Becky,Merkl,Senior Engineer,9999-01-01,1995-11-19,40093
225711,Vasiliy,Steinauer,Engineer,9999-01-01,1995-11-19,46542
232220,Zengping,Hettesheimer,Senior Engineer,9999-01-01,1995-11-19,73191
462737,Yuguang,Szemeredi,Senior Engineer,9999-01-01,1995-11-19,47647
483342,Jiakeng,Baik,Senior Engineer,9999-01-01,1995-11-18,42932
469160,Shan,Haldar,Senior Staff,9999-01-01,1995-11-18,56768
293235,Heeju,Hatcliff,Senior Staff,9999-01-01,1995-11-18,65552
457450,Jinya,Bael,Staff,2001-11-17,1995-11-18,40000
87449,Golgen,Validov,Engineer,9999-01-01,1995-11-18,58725
459623,Marjo,Camarinopoulos,Senior Engineer,9999-01-01,1995-11-18,56917
65162,Marko,Peot,Assistant Engineer,9999-01-01,1995-11-18,40000
22917,Adas,Pfau,Senior Engineer,9999-01-01,1995-11-18,47460
434262,Kerryn,Peir,Senior Staff,9999-01-01,1995-11-18,55038
214665,Mana,Eickenmeyer,Assistant Engineer,9999-01-01,1995-11-18,44406
210678,Subbu,Asmuth,Senior Engineer,9999-01-01,1995-11-18,59472
405451,Ipke,Daescu,Senior Staff,9999-01-01,1995-11-18,57855
48799,Frederique,Giarratana,Senior Engineer,9999-01-01,1995-11-18,48572
11746,Koichi,Marrakchi,Senior Staff,9999-01-01,1995-11-18,55951
468950,Jovan,Mundy,Senior Engineer,9999-01-01,1995-11-18,60639
259679,Jiong,Ishibashi,Senior Engineer,9999-01-01,1995-11-18,45190
252410,Sukumar,Fujisawa,Senior Engineer,9999-01-01,1995-11-18,40000
99937,Yannik,Himler,Senior Engineer,9999-01-01,1995-11-17,40752
486062,Subhash,Luders,Engineer,2000-11-16,1995-11-17,60321
79114,Jessie,Baranowski,Engineer,9999-01-01,1995-11-17,70617
212521,Duangkaew,Borstler,Senior Staff,9999-01-01,1995-11-17,40000
98038,Mack,Peron,Senior Engineer,9999-01-01,1995-11-17,40000
251474,Anwar,Kolvik,Engineer,9999-01-01,1995-11-17,64458
287877,Duro,Trumbly,Senior Engineer,9999-01-01,1995-11-17,40000
491099,Jovan,Iacovou,Senior Staff,9999-01-01,1995-11-17,97289
433251,Yuriy,Fiutem,Staff,2001-11-16,1995-11-17,50291
410320,Emdad,Luon,Engineer,2000-11-16,1995-11-17,40000
30831,Arno,Kermarrec,Senior Staff,9999-01-01,1995-11-17,65636
51688,Jovan,Comte,Engineer,9999-01-01,1995-11-17,41763
251669,Subhrajyoti,Daescu,Senior Staff,9999-01-01,1995-11-16,55298
289124,Miquel,Schwartzbauer,Staff,2000-11-15,1995-11-16,42642
27910,Gil,Haumacher,Senior Engineer,9999-01-01,1995-11-16,45887
35960,Adam,Danlos,Senior Staff,9999-01-01,1995-11-16,52523
251079,Munenori,Yamaashi,Senior Engineer,9999-01-01,1995-11-16,40000
495127,Niclas,Mukaidono,Senior Staff,9999-01-01,1995-11-16,40000
96122,Muzhong,Onuegbe,Senior Staff,9999-01-01,1995-11-16,87889
231294,Sven,Brender,Senior Staff,9999-01-01,1995-11-16,40000
451251,Anneli,Itschner,Senior Staff,9999-01-01,1995-11-16,80158
272104,Paris,Koshino,Assistant Engineer,9999-01-01,1995-11-16,57313
10150,Zhenbing,Perng,Senior Engineer,9999-01-01,1995-11-16,70122
36109,Masaki,Farrag,Engineer,2001-11-15,1995-11-16,40000
298177,Quingbo,Akaboshi,Senior Staff,9999-01-01,1995-11-15,75057
499357,Frederique,Hitomi,Senior Engineer,9999-01-01,1995-11-15,40000
404097,Shigeu,Validov,Engineer,9999-01-01,1995-11-15,48479
445391,Tesuro,Hopewell,Senior Staff,9999-01-01,1995-11-15,79556
452232,Baziley,Masada,Staff,9999-01-01,1995-11-15,92874
280361,Shooichi,Hiltgen,Engineer,2000-11-14,1995-11-15,61253
428103,Takanari,Khasidashvili,Senior Engineer,9999-01-01,1995-11-15,54784
108184,Kien,Merks,Senior Engineer,9999-01-01,1995-11-15,55766
285534,Tran,Kulisch,Senior Staff,9999-01-01,1995-11-15,40000
447092,Inderjeet,Lorho,Senior Staff,9999-01-01,1995-11-14,94407
210437,Aleksandar,Pettis,Senior Staff,9999-01-01,1995-11-14,44194
44459,Aluzio,Panienski,Senior Staff,9999-01-01,1995-11-14,73162
473128,Weijing,Dredge,Engineer,2000-11-13,1995-11-14,59089
496990,Tooru,Busillo,Senior Staff,9999-01-01,1995-11-14,69399
496892,Moss,Holburn,Senior Engineer,9999-01-01,1995-11-14,44462
207012,Masamitsu,Goodrum,Senior Engineer,9999-01-01,1995-11-14,42705
406888,Oddvar,Warwick,Senior Engineer,9999-01-01,1995-11-14,40000
58773,Geoffry,Yavatkar,Engineer,9999-01-01,1995-11-14,40000
249607,Yongqiao,Mahnke,Senior Engineer,9999-01-01,1995-11-13,40974
90760,Hein,Vingron,Engineer,2001-11-12,1995-11-13,42430
439792,Chenyi,Molenaar,Staff,9999-01-01,1995-11-13,40000
103583,Arno,Gulla,Staff,2000-11-12,1995-11-13,50256
102011,Genevieve,Lund,Engineer,2001-11-12,1995-11-13,52456
465818,Eben,Rosiles,Senior Engineer,9999-01-01,1995-11-13,40000
39880,Turgut,Karunanithi,Senior Staff,9999-01-01,1995-11-13,79958
241548,Evgueni,Crouzet,Senior Engineer,9999-01-01,1995-11-13,41193
457597,Manton,Berstel,Senior Engineer,9999-01-01,1995-11-13,40404
58516,Xianlong,Knightly,Senior Staff,9999-01-01,1995-11-13,70580
417438,Boutros,Veldwijk,Engineer,9999-01-01,1995-11-13,53060
464051,Horward,Worfolk,Senior Staff,9999-01-01,1995-11-13,69311
445703,Badri,Murtha,Senior Staff,9999-01-01,1995-11-13,81186
476290,Roded,Junot,Senior Staff,9999-01-01,1995-11-13,40000
285429,Amabile,Kavvadias,Senior Engineer,9999-01-01,1995-11-12,40000
460938,Foong,Koblitz,Engineer,9999-01-01,1995-11-12,47224
251739,Zhiguo,Lichtner,Senior Engineer,9999-01-01,1995-11-12,45156
481222,Zhiwei,Wrigley,Senior Engineer,9999-01-01,1995-11-12,40000
448808,Yannik,Adachi,Senior Engineer,9999-01-01,1995-11-12,47125
95549,Arun,Sooriamurthi,Senior Staff,9999-01-01,1995-11-12,64973
483472,Gita,Pesch,Senior Staff,9999-01-01,1995-11-12,95637
85195,Jiafu,Quadeer,Senior Staff,9999-01-01,1995-11-12,79069
50672,Shen,Greenaway,Senior Engineer,9999-01-01,1995-11-12,40000
38707,Constantine,Hitomi,Senior Staff,9999-01-01,1995-11-12,72764
484482,Vishv,Improta,Senior Engineer,9999-01-01,1995-11-12,40000
248454,Seongbae,Swab,Staff,2001-11-11,1995-11-12,51717
408324,Shigehito,Argence,Senior Staff,9999-01-01,1995-11-12,65242
87091,Sashi,Hiraishi,Senior Staff,9999-01-01,1995-11-12,62431
203488,Stevo,Rosenbaum,Senior Staff,9999-01-01,1995-11-12,46003
19192,Yinlin,Schusler,Senior Engineer,9999-01-01,1995-11-12,56767
82992,Jixiang,Marwedel,Senior Engineer,9999-01-01,1995-11-12,67811
215291,Haldun,Raoux,Assistant Engineer,2000-11-11,1995-11-12,50804
79834,Guiseppe,Wuwongse,Senior Staff,9999-01-01,1995-11-12,68288
412884,Nathan,Selenyi,Senior Engineer,9999-01-01,1995-11-11,40000
414973,Fei,Gips,Senior Staff,9999-01-01,1995-11-11,87205
209183,Susanne,Huttel,Senior Engineer,9999-01-01,1995-11-11,40000
441762,Mircea,Delaune,Staff,2001-11-10,1995-11-11,46811
248092,Macha,Marzano,Senior Staff,9999-01-01,1995-11-11,70442
99443,Zita,Woycyznski,Senior Staff,9999-01-01,1995-11-11,57383
268312,Tsvetan,Kaiser,Engineer,9999-01-01,1995-11-11,97585
438944,Florian,Anick,Senior Staff,9999-01-01,1995-11-11,73694
269583,Mori,Mattern,Staff,9999-01-01,1995-11-10,49398
63576,Cheong,Awdeh,Senior Staff,9999-01-01,1995-11-10,56223
223461,Manibrata,Kusalik,Senior Staff,9999-01-01,1995-11-10,76441
260981,Reuven,Ermel,Senior Staff,9999-01-01,1995-11-10,72561
229810,Katsuo,Attimonelli,Senior Engineer,9999-01-01,1995-11-10,65624
473740,Yaghout,Gladwell,Senior Staff,9999-01-01,1995-11-10,40000
233431,Jingling,Flowers,Senior Staff,9999-01-01,1995-11-10,49460
450556,Douadi,Zolotykh,Engineer,9999-01-01,1995-11-10,62561
48970,Kazuhito,Collette,Senior Staff,9999-01-01,1995-11-10,83805
407504,Shigehiro,Levasseur,Staff,2000-11-09,1995-11-10,77833
452785,Honglan,Cusworth,Engineer,9999-01-01,1995-11-10,47821
82110,Vugranam,Gecsel,Senior Staff,9999-01-01,1995-11-10,48328
25952,Zito,Kalloufi,Engineer,9999-01-01,1995-11-10,64988
73035,Kensyu,Cummings,Senior Staff,9999-01-01,1995-11-10,78429
16808,Kiyokazu,Katiyar,Senior Staff,9999-01-01,1995-11-10,87215
107019,Noritoshi,Majewski,Senior Staff,9999-01-01,1995-11-09,81407
33006,Saniya,Einsfeld,Staff,9999-01-01,1995-11-09,64984
29690,Eran,Fioravanti,Senior Staff,9999-01-01,1995-11-09,90555
445306,Arvind,Taubman,Staff,9999-01-01,1995-11-09,72915
20450,Abdelwaheb,Binkley,Senior Engineer,9999-01-01,1995-11-09,41934
446607,Urs,Hinsberger,Senior Staff,9999-01-01,1995-11-09,60284
69297,Fei,Range,Senior Engineer,9999-01-01,1995-11-09,57158
456532,Lijia,Penz,Senior Staff,9999-01-01,1995-11-09,56968
411643,Kankanahalli,Billawala,Senior Staff,9999-01-01,1995-11-09,72615
21994,Lech,Babb,Senior Staff,9999-01-01,1995-11-09,53931
496583,Toshiki,Shinomoto,Senior Staff,9999-01-01,1995-11-09,77805
100960,Saniya,Candan,Senior Engineer,9999-01-01,1995-11-09,49070
408228,Valeska,Rosen,Senior Engineer,9999-01-01,1995-11-09,71173
52986,Ugo,Beznosov,Senior Staff,9999-01-01,1995-11-09,70532
436848,Nitsan,Naudin,Senior Staff,9999-01-01,1995-11-08,46301
200433,Gilbert,Bolotov,Staff,2000-11-07,1995-11-08,74513
290424,Foong,Karcich,Senior Engineer,9999-01-01,1995-11-08,45211
270810,Gonzalo,Braccini,Senior Staff,9999-01-01,1995-11-08,56560
493448,Alper,Swist,Senior Engineer,9999-01-01,1995-11-08,40000
53540,Khaled,Zockler,Engineer,9999-01-01,1995-11-08,40000
284099,Masali,Gluchowski,Senior Engineer,9999-01-01,1995-11-08,45170
107292,Lokesh,Weiland,Senior Staff,9999-01-01,1995-11-08,64509
50475,Paris,Hennebert,Senior Engineer,9999-01-01,1995-11-08,49456
475692,Inderjeet,Crabtree,Engineer,9999-01-01,1995-11-08,50693
247485,Mrinalini,Luby,Senior Staff,9999-01-01,1995-11-08,56637
90147,Tomokazu,Plump,Staff,9999-01-01,1995-11-07,40000
285068,Genta,Felcyn,Engineer,9999-01-01,1995-11-07,40000
490071,Claudi,Comte,Senior Engineer,9999-01-01,1995-11-07,75526
280532,Gilbert,Jayawardene,Senior Engineer,9999-01-01,1995-11-07,40000
463681,Gian,Kalefeld,Senior Engineer,9999-01-01,1995-11-07,72716
267707,Tze,Giveon,Senior Engineer,9999-01-01,1995-11-07,40000
441582,Munehiko,Schauser,Senior Engineer,9999-01-01,1995-11-07,55552
243829,Seongbae,Thiria,Engineer,9999-01-01,1995-11-07,63406
87306,Mabhin,Speckmann,Staff,9999-01-01,1995-11-07,40000
236105,Genevieve,Kleiser,Senior Engineer,9999-01-01,1995-11-07,40000
437706,Shen,Swick,Engineer,9999-01-01,1995-11-07,78536
241595,Oddvar,Muhling,Staff,2001-11-06,1995-11-07,47382
431432,Danel,Verhoeff,Assistant Engineer,2001-11-06,1995-11-07,40000
40057,Ghassan,Kalloufi,Senior Staff,9999-01-01,1995-11-06,76287
60807,Parke,Angel,Senior Engineer,9999-01-01,1995-11-06,49204
45002,Leif,Klyachko,Senior Engineer,9999-01-01,1995-11-06,40000
487749,Unal,Comte,Senior Staff,9999-01-01,1995-11-06,59116
413162,Turgut,Merks,Senior Engineer,9999-01-01,1995-11-06,60139
294995,Sumali,Iacovou,Senior Engineer,9999-01-01,1995-11-06,59554
21321,Laurentiu,Raney,Senior Engineer,9999-01-01,1995-11-06,58022
272230,Kwangsub,Peternell,Senior Engineer,9999-01-01,1995-11-06,40000
100698,Gino,Atrawala,Senior Staff,9999-01-01,1995-11-06,45457
29527,Adamantios,Oaver,Senior Staff,9999-01-01,1995-11-06,58827
85692,Marin,Petersohn,Senior Engineer,9999-01-01,1995-11-06,45545
451858,Moon,Mateescu,Senior Engineer,9999-01-01,1995-11-06,54365
210129,Aamer,Frijda,Senior Engineer,9999-01-01,1995-11-06,40000
299588,Kwun,Bazzichi,Engineer,9999-01-01,1995-11-06,58572
12941,Tommaso,Perelgut,Senior Engineer,9999-01-01,1995-11-06,67069
219236,Jinya,Onuegbe,Senior Engineer,9999-01-01,1995-11-06,40000
226099,Malu,Chandrasekhar,Senior Staff,9999-01-01,1995-11-06,52718
65448,Menkae,Benzaken,Staff,9999-01-01,1995-11-06,80004
210575,Oscar,Lung,Senior Staff,9999-01-01,1995-11-05,67936
470116,Xiaocheng,Anily,Senior Engineer,9999-01-01,1995-11-05,40000
107895,Toshimitsu,Pappas,Senior Staff,9999-01-01,1995-11-05,40000
288138,Iara,Tetzlaff,Staff,2000-11-04,1995-11-05,102327
434274,Turgut,Katalagarianos,Senior Engineer,9999-01-01,1995-11-05,40000
33628,Macha,Ritcey,Senior Engineer,9999-01-01,1995-11-05,44804
499720,Mats,Strandh,Engineer,2000-11-04,1995-11-05,52863
56298,Gro,Peir,Senior Engineer,9999-01-01,1995-11-05,64827
251002,Aksel,Belinskaya,Senior Staff,9999-01-01,1995-11-05,51774
400565,Mark,Rusterholz,Staff,9999-01-01,1995-11-04,61745
75435,Maria,Veccia,Technique Leader,9999-01-01,1995-11-04,44486
260246,Alagu,Birta,Staff,9999-01-01,1995-11-04,40000
278083,Georg,Pollock,Senior Engineer,9999-01-01,1995-11-04,47922
258521,Felicidad,Pintelas,Senior Staff,9999-01-01,1995-11-04,93070
462368,Bodo,Tsukune,Senior Engineer,9999-01-01,1995-11-04,40000
498627,Candido,Danecki,Engineer,2000-11-03,1995-11-04,40596
258963,Clyde,Riexinger,Senior Staff,9999-01-01,1995-11-04,54239
232089,Yoshimitsu,Czaja,Senior Engineer,9999-01-01,1995-11-04,40000
219794,Collette,Rodiger,Staff,2000-11-02,1995-11-03,40000
224035,Inderjeet,Picaronny,Staff,2001-11-02,1995-11-03,85466
258869,Valeska,Billawala,Senior Engineer,9999-01-01,1995-11-03,40000
262709,Parto,Cmelik,Senior Staff,9999-01-01,1995-11-03,62180
462933,Randy,Hemaspaandra,Senior Engineer,9999-01-01,1995-11-03,55791
27711,Leaf,Goodrum,Engineer,9999-01-01,1995-11-03,61350
88770,Jaroslava,Mukaidono,Senior Staff,9999-01-01,1995-11-03,40000
430101,Dekang,Veeraraghavan,Senior Staff,9999-01-01,1995-11-03,46824
94405,Ramalingam,Escriba,Staff,2000-11-02,1995-11-03,56322
236050,Yoshinari,Marchesini,Senior Engineer,9999-01-01,1995-11-03,64245
202432,Aloys,Heering,Engineer,9999-01-01,1995-11-03,56095
58366,Akeel,Schnabel,Senior Engineer,9999-01-01,1995-11-03,66579
419717,Rosalie,Tsunoo,Senior Engineer,9999-01-01,1995-11-03,44601
439630,Ymte,Busillo,Senior Staff,9999-01-01,1995-11-03,79638
258627,Maris,Cools,Senior Staff,9999-01-01,1995-11-02,70007
282893,Shugo,Azevdeo,Senior Staff,9999-01-01,1995-11-02,40000
27856,Lokesh,Holburn,Senior Engineer,9999-01-01,1995-11-02,40000
39658,Cullen,Flexer,Engineer,9999-01-01,1995-11-02,40000
486879,Duangkaew,Ligten,Assistant Engineer,9999-01-01,1995-11-02,55040
11864,Pradeep,Kriebel,Staff,9999-01-01,1995-11-02,52517
225492,Guangming,Deville,Senior Staff,9999-01-01,1995-11-02,40000
75020,Lidong,Cannard,Senior Staff,9999-01-01,1995-11-01,40000
449784,Kersti,Zwicker,Senior Engineer,9999-01-01,1995-11-01,40000
482207,Satyanarayana,Perl,Senior Engineer,9999-01-01,1995-11-01,40000
26808,Jeanne,DuCasse,Senior Staff,9999-01-01,1995-11-01,86652
31167,Constantijn,Reinhard,Senior Engineer,9999-01-01,1995-11-01,40000
473800,Herb,Lakshmanan,Staff,9999-01-01,1995-11-01,77852
202163,Fayez,Dayana,Senior Staff,9999-01-01,1995-11-01,42545
46339,Stepehn,Linares,Senior Staff,9999-01-01,1995-11-01,56890
64344,Hyuncheol,Karnin,Senior Engineer,9999-01-01,1995-10-31,44886
442947,Houman,Brattka,Senior Staff,9999-01-01,1995-10-31,59321
442054,Sachar,Vendrig,Engineer,9999-01-01,1995-10-31,41470
212883,Denis,Hedayat,Senior Staff,9999-01-01,1995-10-31,46739
295439,Makato,Fadgyas,Senior Staff,9999-01-01,1995-10-31,84737
485681,Fen,Flowers,Senior Engineer,9999-01-01,1995-10-31,52541
61589,Chuanti,Demke,Senior Engineer,9999-01-01,1995-10-31,57452
226814,Zhenbing,Pollock,Senior Engineer,9999-01-01,1995-10-31,46745
281288,Nikolaos,Menyhert,Senior Staff,9999-01-01,1995-10-30,40000
39712,Chirstian,Muchinsky,Senior Staff,9999-01-01,1995-10-30,75967
76562,Renee,Basart,Senior Staff,9999-01-01,1995-10-30,65292
467360,Bodh,Garnier,Senior Engineer,9999-01-01,1995-10-30,40000
406819,Anestis,Itzigehl,Senior Engineer,9999-01-01,1995-10-30,45236
250708,Chiranjit,Sichman,Senior Engineer,9999-01-01,1995-10-30,40000
442455,Youngkon,Gihr,Senior Engineer,9999-01-01,1995-10-30,62540
293281,Denny,Whittlesey,Engineer,9999-01-01,1995-10-30,67003
438084,Bangqing,Kemmerer,Senior Engineer,9999-01-01,1995-10-30,40000
449485,Along,Murtafg,Senior Engineer,9999-01-01,1995-10-30,49000
88821,Shen,Gihr,Senior Engineer,9999-01-01,1995-10-30,67179
261738,Radhia,Velardi,Engineer,9999-01-01,1995-10-29,60861
420363,Seongbae,Garrabrants,Senior Staff,9999-01-01,1995-10-29,51263
476166,Subhada,Quittner,Senior Staff,9999-01-01,1995-10-29,102411
59250,Toong,Arlazarov,Technique Leader,9999-01-01,1995-10-29,49242
497184,Masali,Salverda,Senior Engineer,9999-01-01,1995-10-29,40000
466264,Bingning,Ramsak,Senior Staff,9999-01-01,1995-10-29,40000
225871,Ronghao,Kavraki,Senior Staff,9999-01-01,1995-10-29,59319
222079,Bojan,Streng,Senior Engineer,9999-01-01,1995-10-29,40000
482654,Lokesh,Iisaka,Senior Engineer,9999-01-01,1995-10-29,40000
219678,Yechiam,Kalloufi,Engineer,2000-10-28,1995-10-29,42679
20170,Emdad,Himler,Senior Staff,9999-01-01,1995-10-29,85953
295874,Gina,Pocchiola,Senior Staff,9999-01-01,1995-10-29,54755
77898,Yuchang,Christianini,Senior Engineer,9999-01-01,1995-10-29,62620
402776,Tamiya,Uhrik,Senior Engineer,9999-01-01,1995-10-28,40000
84901,Lucien,Peak,Staff,9999-01-01,1995-10-28,81332
13524,Chaoyi,Porotnikoff,Staff,2000-10-27,1995-10-28,52849
292995,Junsik,Picel,Engineer,2000-10-27,1995-10-28,58108
83068,Cristinel,Kawashima,Engineer,2000-10-27,1995-10-28,40000
53324,Vincent,Speckmann,Senior Engineer,9999-01-01,1995-10-28,40000
247963,Charlene,Back,Senior Engineer,9999-01-01,1995-10-28,40000
438930,Luerbio,Murtagh,Senior Engineer,9999-01-01,1995-10-28,53082
248686,Danil,Awdeh,Senior Staff,9999-01-01,1995-10-27,40000
402670,Demos,Lorys,Senior Engineer,9999-01-01,1995-10-27,40000
220877,Baruch,Christ,Engineer,9999-01-01,1995-10-27,46313
292612,Lihong,Katalagarianos,Engineer,9999-01-01,1995-10-27,46719
472518,Mong,Swift,Senior Engineer,9999-01-01,1995-10-27,63556
229069,Lucian,Crelier,Senior Engineer,9999-01-01,1995-10-27,61545
205728,Hatem,Marquardt,Staff,9999-01-01,1995-10-27,50503
232564,Vishu,Trachtenberg,Senior Engineer,9999-01-01,1995-10-27,83949
63331,Changho,Fadgyas,Engineer,9999-01-01,1995-10-27,65406
19882,Thanasis,Demri,Senior Staff,9999-01-01,1995-10-26,40000
480771,Jasminko,Iwayama,Senior Engineer,9999-01-01,1995-10-26,40000
288223,Francesca,Nollmann,Senior Engineer,9999-01-01,1995-10-26,64539
73499,Ult,Ferriere,Staff,2000-10-25,1995-10-26,67659
407451,Sorina,Ponthieu,Engineer,9999-01-01,1995-10-26,40000
428198,Behnaam,Thibadeau,Senior Staff,9999-01-01,1995-10-26,96792
32468,Rafols,Masamoto,Senior Staff,9999-01-01,1995-10-26,81351
201524,Felicidad,Flasterstein,Senior Engineer,9999-01-01,1995-10-26,44027
270966,Hongzue,Heering,Senior Staff,9999-01-01,1995-10-26,54562
464144,Mostafa,Ashish,Senior Staff,9999-01-01,1995-10-26,40000
286004,Sachem,Schiper,Engineer,9999-01-01,1995-10-26,51290
287238,Yoshimitsu,Nooteboom,Senior Engineer,9999-01-01,1995-10-25,40000
238149,Adib,Rothe,Senior Engineer,9999-01-01,1995-10-25,42785
258555,Uwe,Nyrup,Engineer,2001-10-24,1995-10-25,57841
219370,Khedija,Nergos,Senior Engineer,9999-01-01,1995-10-25,52077
98458,Oguz,Pollock,Senior Engineer,9999-01-01,1995-10-25,47360
46484,Neelam,Rabehasaina,Senior Staff,9999-01-01,1995-10-25,59795
406806,Shichao,Plavsic,Engineer,9999-01-01,1995-10-25,46003
415773,Martien,Hartvigsen,Senior Staff,9999-01-01,1995-10-25,94814
423388,Hiroyasu,Byoun,Staff,9999-01-01,1995-10-25,69186
492119,Dipankar,Bennet,Staff,2000-10-24,1995-10-25,40000
489349,Foong,Schapire,Senior Staff,9999-01-01,1995-10-25,75443
11268,Aimee,Petersohn,Senior Engineer,9999-01-01,1995-10-25,40000
415093,Shigeu,Juneja,Senior Engineer,9999-01-01,1995-10-25,40000
493155,Jaber,Henders,Senior Staff,9999-01-01,1995-10-25,47962
422566,Adly,Erva,Engineer,9999-01-01,1995-10-24,40299
244117,Dung,Chiodo,Senior Engineer,9999-01-01,1995-10-24,48524
58129,Chuanyi,Schnabel,Senior Staff,9999-01-01,1995-10-24,44924
450623,Mostafa,Schiper,Senior Staff,9999-01-01,1995-10-24,57319
214791,Mana,Ligten,Senior Engineer,9999-01-01,1995-10-24,42838
206277,Candida,Toyoshima,Senior Staff,9999-01-01,1995-10-24,59339
57525,Herbert,Dechter,Staff,2000-10-23,1995-10-24,63116
218423,Arlette,Munro,Engineer,2000-10-23,1995-10-24,40000
491850,Marsal,Lunt,Senior Staff,9999-01-01,1995-10-24,69635
462080,Guther,Larfeldt,Assistant Engineer,2001-10-23,1995-10-24,41569
98506,Oddvar,Gyorkos,Staff,2000-10-23,1995-10-24,66018
82003,Saeko,Tomescu,Engineer,2000-10-23,1995-10-24,40000
229335,Hilary,Chinin,Senior Engineer,9999-01-01,1995-10-23,69958
